"107年11月30日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"2314","台揚","807,853","443","16,183,860","20.00","20.15","19.95","20.00","+","0.15","20.00","6","20.10","33","95.24",
"2316","楠梓電","742,203","347","11,476,573","15.60","15.60","15.35","15.40","-","0.20","15.40","84","15.45","6","17.91",
"2317","鴻海","79,512,359","16,857","5,770,124,397","72.60","73.90","71.90","71.90","-","0.50","71.80","573","71.90","7","7.22",
"2321","東訊","42,500","20","133,220","3.10","3.17","3.10","3.17","+","0.07","3.11","1","3.17","1","0.00",
"2323","中環","47,265,597","9,972","338,621,418","7.25","7.36","6.95","6.95","-","0.22","6.95","122","6.98","71","0.00",
"2324","仁寶","19,397,923","2,759","341,770,823","17.60","17.75","17.55","17.60","+","0.10","17.55","337","17.60","107","8.22",
"2327","國巨","19,056,726","13,530","6,967,711,120","360.50","370.00","360.50","370.00","+","10.50","369.50","1","370.00","311","4.82",
"2328","廣宇","1,441,251","767","28,639,944","19.75","20.05","19.65","20.05","+","0.45","20.00","32","20.05","65","9.11",
"2330","台積電","57,352,957","10,931","12,995,823,319","229.50","231.00","225.50","225.50","-","3.50","225.50","1,041","226.00","71","16.68",
"2331","精英","3,030,302","357","39,662,326","13.05","13.15","12.95","13.10","+","0.15","13.10","493","13.15","45","0.00",
"2332","友訊","865,456","354","9,635,766","11.05","11.20","11.05","11.10","+","0.10","11.10","16","11.15","74","185.00",
"2337","旺宏","212,527,054","23,616","4,372,240,363","20.60","21.20","20.30","20.50","-","0.20","20.50","4,085","20.55","64","4.33",
"2338","光罩","5,467,348","2,308","113,096,688","19.90","21.45","19.75","21.05","+","1.35","21.00","309","21.05","62","25.99",
"2340","光磊","11,635,250","4,528","216,725,992","18.25","19.10","18.15","18.65","+","0.60","18.65","89","18.70","15","13.51",
"2342","茂矽","3,953,476","2,052","109,999,602","28.15","28.35","27.30","27.60","-","0.55","27.60","50","27.65","2","21.40",
"2344","華邦電","30,800,702","6,469","465,385,039","15.05","15.30","15.00","15.00","-","0.05","15.00","1,374","15.05","342","7.14",
"2345","智邦","4,186,090","2,746","409,314,471","97.80","98.40","97.10","97.50","+","1.20","97.50","3","97.70","1","19.50",
"2347","聯強","16,714,754","4,509","606,933,416","36.10","36.80","36.00","36.25","+","0.45","36.25","64","36.30","22","8.59",
"2348","海悅","425,008","268","19,195,308","45.95","46.00","44.70","45.00","-","0.90","45.00","1","45.20","9","9.05",
"2349","錸德","42,077,399","9,042","509,592,321","11.80","12.50","11.75","12.45","+","0.70","12.40","25","12.45","261","0.00",
"2351","順德","574,140","460","43,901,496","77.20","77.40","75.50","76.40","-","0.80","76.00","2","76.40","1","17.52",
"2352","佳世達","3,805,919","1,261","72,647,752","19.00","19.30","18.90","19.00","+","0.10","18.95","29","19.00","18","8.48",
"2353","宏碁","15,392,886","3,764","305,564,219","19.80","19.95","19.70","19.90","+","0.25","19.85","132","19.90","630","16.86",
"2354","鴻準","13,166,336","4,632","812,773,232","61.30","62.20","60.60","62.20","+","0.90","62.20","17","62.30","147","8.79",
"2355","敬鵬","1,357,134","766","52,652,411","39.15","39.20","38.50","38.55","-","0.60","38.55","18","38.65","1","64.25",
"2356","英業達","13,318,026","3,097","295,590,661","22.20","22.45","22.05","22.10"," ","0.00","22.10","81","22.30","4","11.45",
"2357","華碩","2,369,057","1,075","518,791,426","218.50","222.00","218.00","218.00"," ","0.00","218.00","117","219.50","1","14.59",
"2358","廷鑫","147,340","90","2,558,897","17.50","17.50","17.20","17.35","+","0.05","17.35","8","17.40","15","31.55",
"2359","所羅門","854,363","447","15,381,391","18.10","18.35","17.75","17.75","-","0.25","17.75","14","17.80","7","21.65",
"2360","致茂","2,473,417","1,718","300,494,540","123.50","125.50","119.00","119.00","-","5.00","119.00","226","120.00","3","16.69",
"2362","藍天","1,494,677","462","44,958,278","29.80","30.60","29.70","30.50","+","0.75","30.40","3","30.50","5","11.60",
"2363","矽統","4,135,600","985","38,301,080","9.19","9.39","9.06","9.06","-","0.08","9.05","5","9.06","44","0.00",
"2364","倫飛","37,744","16","134,781","3.60","3.60","3.55","3.55","-","0.05","3.56","10","3.58","10","0.00",
"2365","昆盈","655,442","288","6,058,670","9.30","9.38","9.20","9.20","-","0.19","9.19","1","9.20","8","18.78",
"2367","燿華","16,980,405","5,383","260,354,189","15.20","15.55","15.20","15.45","+","0.45","15.40","14","15.45","148","8.93",
"2368","金像電","10,901,482","2,639","134,553,776","12.30","12.50","12.20","12.30","+","0.20","12.30","75","12.35","292","34.17",
"2369","菱生","2,364,564","983","22,967,224","9.81","9.93","9.51","9.68","-","0.17","9.64","6","9.68","2","0.00",
"2371","大同","199,623,393","25,515","8,102,752,723","40.90","41.95","39.35","40.50","+","0.65","40.45","66","40.50","1,054","0.00",
"2373","震旦行","58,102","34","5,574,160","96.40","96.40","95.90","95.90"," ","0.00","95.90","3","96.30","6","11.57",
"2374","佳能","817,378","381","11,991,783","14.70","14.90","14.50","14.70"," ","0.00","14.65","1","14.70","15","0.00",
"2375","智寶","5,023,147","2,593","156,671,404","30.85","31.55","30.65","31.35","+","0.80","31.35","5","31.40","74","1.62",
"2376","技嘉","10,222,030","5,253","397,173,328","38.65","39.55","38.35","38.85","+","0.25","38.85","51","38.90","4","7.54",
"2377","微星","13,925,528","7,899","1,008,456,457","70.70","73.60","70.20","72.50","+","1.80","72.40","91","72.50","65","9.20",
"2379","瑞昱","3,927,304","2,205","553,949,060","141.00","142.50","138.00","141.50","+","0.50","141.00","22","141.50","7","17.73",
"2380","虹光","275,403","79","1,266,483","4.74","4.74","4.50","4.59","-","0.06","4.52","2","4.59","22","0.00",
"2382","廣達","11,257,518","2,074","560,673,810","49.50","49.95","49.25","49.95","+","0.80","49.85","8","49.95","161","13.21",
"2383","台光電","3,015,310","2,246","222,436,946","75.30","76.00","72.60","72.90","-","2.10","72.80","39","72.90","6","12.31",
"2385","群光","2,516,245","988","152,443,066","61.00","61.40","60.30","60.30","-","0.20","60.30","62","60.50","1","10.38",
"2388","威盛","3,500,549","1,895","100,102,039","28.40","29.40","28.00","28.60","+","0.20","28.50","3","28.60","126","238.33",
"2390","云辰","6,911,137","1,796","75,935,842","10.75","11.10","10.75","10.80","+","0.15","10.80","2","10.85","17","0.00",
"2392","正崴","1,895,899","759","46,115,282","24.35","24.60","24.20","24.30"," ","0.00","24.25","60","24.30","188","0.00",
"2393","億光","2,040,350","1,123","64,070,861","31.15","31.80","31.05","31.05"," ","0.00","31.05","137","31.30","6","15.53",
"2395","研華","1,366,358","729","316,372,840","227.00","233.50","226.00","233.50","+","8.00","233.50","152","234.00","15","25.89",
"2397","友通","49,000","31","3,209,900","65.60","65.80","65.20","65.20","-","0.50","65.10","11","65.50","1","13.53",
"2399","映泰","716,248","365","7,045,885","9.55","9.96","9.55","9.92","+","0.21","9.92","4","9.93","8","0.00",
"2401","凌陽","2,536,159","926","30,310,223","11.80","12.05","11.80","11.90","+","0.20","11.85","37","11.90","32","108.18",
"2402","毅嘉","484,600","221","7,363,809","15.20","15.25","15.15","15.20","+","0.05","15.15","33","15.20","10","95.00",
"2405","浩鑫","17,595,060","3,279","221,316,481","12.55","12.80","12.10","12.10","-","0.45","12.10","439","12.15","24","0.00",
"2406","國碩","992,341","467","8,104,433","8.11","8.22","8.10","8.14","+","0.09","8.13","21","8.14","6","0.00",
"2408","南亞科","27,674,155","8,226","1,688,991,635","60.60","61.60","60.60","61.00","+","0.70","60.90","96","61.00","940","3.55",
"2409","友達","40,392,222","3,819","510,638,913","12.70","12.85","12.55","12.55","-","0.15","12.55","2,040","12.60","12","8.60",
"2412","中華電","14,284,384","3,529","1,529,080,088","107.00","107.50","106.50","107.00","+","0.50","107.00","1,650","107.50","1,175","23.21",
"2413","環科","293,120","192","6,185,943","20.60","21.30","20.60","21.30","+","0.55","21.30","2","21.35","3","0.00",
"2414","精技","22,055","18","420,556","19.10","19.10","19.05","19.05","-","0.15","19.00","23","19.20","19","12.29",
"2415","錩新","1,968,614","1,051","43,297,698","21.40","22.45","21.35","22.15","+","0.90","22.15","2","22.30","5","12.24",
"2417","圓剛","727,120","337","8,072,496","11.50","11.50","10.85","10.85","+","0.10","10.85","25","10.90","9","0.00",
"2419","仲琦","523,634","285","10,489,905","20.00","20.30","19.90","20.05","+","0.05","20.00","40","20.05","33","24.45",
"2420","新巨","58,200","39","1,840,679","31.50","31.80","31.50","31.75","+","0.30","31.75","11","31.80","1","10.38",
"2421","建準","2,221,455","1,389","86,564,653","39.15","39.50","38.60","38.70","-","0.50","38.70","11","38.75","2","16.13",
"2423","固緯","33,085","23","727,661","22.00","22.10","21.90","22.05","+","0.05","21.95","2","22.05","10","10.76",
"2424","隴華","51,000","2","1,810,500","35.50","35.50","35.50","35.50"," ","0.00","34.60","1","35.50","1","0.00",
"2425","承啟","757,133","486","24,595,718","32.15","33.40","31.85","32.30","+","0.15","32.30","9","32.35","1","15.31",
"2426","鼎元","7,052,566","2,723","123,385,325","17.05","17.70","17.05","17.60","+","0.55","17.60","67","17.65","80","8.34",
"2427","三商電","1,342,587","467","15,852,104","11.55","11.90","11.55","11.85","+","0.25","11.80","323","11.85","62","42.32",
"2428","興勤","1,256,569","740","102,532,458","81.10","82.00","81.00","81.90","+","0.80","81.50","13","81.90","10","10.37",
"2429","銘旺科","6,000","6","66,100","11.20","11.20","10.80","10.85","-","0.05","10.85","1","11.05","1","0.00",
"2430","燦坤","15,207","17","305,859","20.10","20.20","20.10","20.10"," ","0.00","20.10","6","20.25","14","11.89",
"2431","聯昌","195,255","104","1,874,798","9.50","9.67","9.44","9.67","+","0.25","9.64","2","9.67","6","0.00",
"2433","互盛電","13,100","10","551,310","42.20","42.25","41.95","41.95","-","0.15","41.90","3","42.25","1","11.75",
"2434","統懋","521,128","211","5,298,603","9.70","10.50","9.56","10.50","+","0.93","10.50","1,918","--","0","0.00",
"2436","偉詮電","422,095","286","10,314,254","24.45","24.75","24.30","24.40"," ","0.00","24.40","9","24.45","6","14.52",
"2438","翔耀","7,999","5","51,263","6.44","6.45","6.35","6.35","-","0.13","6.35","2","6.55","2","0.00",
"2439","美律","2,845,212","2,058","370,088,950","130.00","132.00","128.50","129.00"," ","0.00","129.00","32","129.50","17","8.61",
"2440","太空梭","61,000","26","505,680","8.11","8.40","8.11","8.30"," ","0.00","8.23","4","8.40","4","0.00",
"2441","超豐","373,177","195","15,580,698","41.70","41.90","41.55","41.80","+","0.10","41.75","8","41.80","12","9.21",
"2442","新美齊","10,988,520","2,690","159,709,144","13.80","14.90","13.75","14.90","+","1.35","14.90","21,252","--","0","62.08",
"2443","新利虹","122,981","65","601,984","4.91","4.95","4.84","4.95","+","0.04","4.95","1","4.96","2","0.00",
"2444","兆勁","2,890,182","1,263","63,514,742","22.00","22.50","21.55","21.55","-","0.30","21.55","86","21.60","10","0.00",
"2448","晶電","55,556,973","19,843","1,478,525,571","25.65","27.35","25.50","27.05","+","1.95","27.00","176","27.05","207","31.82",
"2449","京元電子","6,152,729","2,201","129,137,159","20.75","21.25","20.65","21.00","+","0.25","21.00","160","21.10","6","14.29",
"2450","神腦","39,142","30","1,385,105","35.25","35.50","35.25","35.30","+","0.20","35.25","9","35.50","1","19.50",
"2451","創見","447,844","291","30,864,349","70.00","70.10","68.20","68.20","-","1.40","68.10","2","68.20","11","12.84",
"2453","凌群","75,000","35","869,200","11.60","11.65","11.55","11.55"," ","0.00","11.55","11","11.60","21","14.62",
"2454","聯發科","6,754,593","3,418","1,595,072,968","233.00","238.00","231.00","237.50","+","6.00","237.00","4","237.50","132","13.86",
"2455","全新","4,984,766","3,285","307,519,313","61.60","62.50","60.90","60.90"," ","0.00","60.90","162","61.00","11","26.25",
"2456","奇力新","4,725,951","3,456","402,684,247","84.30","85.70","84.30","85.30","+","1.10","85.20","27","85.40","28","6.75",
"2457","飛宏","591,408","302","5,881,954","9.83","9.99","9.83","9.95","+","0.14","9.92","25","9.95","5","0.00",
"2458","義隆","6,575,476","4,454","466,908,943","71.20","72.90","69.10","70.60","+","0.30","70.40","1","70.60","61","15.12",
"2459","敦吉","38,001","29","1,380,536","36.35","36.45","36.25","36.30","+","0.05","36.30","18","36.45","8","9.21",
"2460","建通","129,001","66","1,346,060","10.30","10.50","10.30","10.40","+","0.15","10.40","7","10.45","10","0.00",
"2461","光群雷","334,001","40","4,260,162","12.75","12.85","12.70","12.75"," ","0.00","12.70","32","12.75","17","21.25",
"2462","良得電","108,023","79","2,947,973","27.15","27.35","27.15","27.30","+","0.10","27.30","3","27.35","14","0.00",
"2464","盟立","2,616,764","1,385","116,402,486","44.00","45.70","43.45","44.75","+","1.00","44.75","2","44.80","7","9.73",
"2465","麗臺","240,002","128","2,703,972","11.20","11.45","11.15","11.25","+","0.05","11.25","2","11.30","1","0.00",
"2466","冠西電","84,640","58","2,644,378","31.25","31.35","31.10","31.15","-","0.10","31.15","1","31.30","3","1,557.50",
"2467","志聖","230,001","131","5,944,228","25.75","25.95","25.75","25.90","+","0.05","25.85","11","25.90","15","7.73",
"2468","華經","156,000","82","1,795,300","11.50","11.55","11.45","11.50","+","0.05","11.50","12","11.55","19","18.55",
"2471","資通","16,001","15","232,565","14.50","14.60","14.50","14.50"," ","0.00","14.45","5","14.50","5","9.42",
"2472","立隆電","781,308","557","35,007,588","44.35","45.25","44.30","45.10","+","1.15","45.00","10","45.10","6","9.91",
"2474","可成","9,798,248","6,216","2,573,584,581","254.50","267.50","253.00","264.50","+","12.00","264.00","104","264.50","45","6.95",
"2475","華映","2,005,831","153","2,651,873","1.31","1.33","1.31","1.32","+","0.01","1.32","181","1.33","163","0.00",
"2476","鉅祥","49,776","34","1,163,179","23.25","23.50","23.25","23.30","-","0.15","23.30","1","23.40","18","14.12",
"2477","美隆電","37,050","25","746,600","20.45","20.45","20.05","20.05","-","0.05","20.05","32","20.10","1","18.74",
"2478","大毅","5,548,876","3,487","310,295,640","55.50","56.70","55.20","55.90","+","0.70","55.80","31","55.90","28","9.21",
"2480","敦陽科","64,250","42","2,442,949","38.00","38.10","37.95","37.95","+","0.05","37.95","4","38.00","17","11.36",
"2481","強茂","56,649,423","23,000","1,708,729,214","28.70","31.25","28.70","31.25","+","2.80","31.25","15,877","--","0","0.00",
"2482","連宇","12,131","13","138,399","11.45","11.45","11.40","11.40","-","0.05","11.40","1","11.50","6","0.00",
"2483","百容","92,020","54","1,652,616","17.80","18.15","17.75","18.15","+","0.40","18.00","5","18.20","4","11.27",
"2484","希華","1,199,512","561","21,624,216","17.70","18.20","17.70","18.00","+","0.30","18.00","6","18.05","24","12.24",
"2485","兆赫","7,568,007","1,120","126,123,924","17.15","17.65","16.50","16.50","-","0.55","16.50","120","17.00","9","33.00",
"2486","一詮","2,258,251","731","22,053,778","9.45","9.90","9.45","9.86","+","0.41","9.82","5","9.86","4","0.00",
"2488","漢平","244,002","140","7,316,264","30.00","30.15","29.80","30.15","+","0.35","30.10","8","30.15","14","9.60",
"2489","瑞軒","1,559,345","682","18,964,254","12.00","12.30","12.00","12.25","+","0.20","12.20","213","12.25","2","0.00",
"2491","吉祥全","4,254","6","21,792","5.12","5.13","5.12","5.12","-","0.03","5.00","1","5.23","1","0.00",
"2492","華新科","37,154,838","21,414","6,861,711,606","181.00","187.50","181.00","187.50","+","8.50","187.00","38","187.50","177","5.77",
"2493","揚博","62,258","42","1,545,600","24.75","25.00","24.75","24.80","+","0.05","24.80","2","24.85","6","10.33",
"2495","普安","330,200","72","3,864,989","11.70","11.75","11.70","11.70","-","0.05","11.70","5","11.75","21","37.74",
"2496","卓越","7,089","11","578,234","81.70","81.70","81.60","81.60","+","0.30","81.60","1","83.40","2","11.51",
"2497","怡利電","296,000","108","4,413,300","14.85","15.05","14.65","14.85","+","0.20","14.80","10","14.90","1","0.00",
"2498","宏達電","90,142,112","20,978","4,173,112,721","47.90","49.30","45.35","45.55","-","1.45","45.55","379","45.60","8","5.64",
"2499","東貝","1,408,791","454","13,207,634","9.29","9.45","9.20","9.39","+","0.10","9.38","56","9.39","2","0.00",
"2501","國建","1,573,168","680","31,539,044","19.90","20.20","19.85","20.05","+","0.15","20.05","41","20.10","56","7.32",
"2504","國產","6,722,248","1,346","57,538,845","8.58","8.83","8.22","8.22","-","0.36","8.22","65","8.58","6","45.67",
"2505","國揚","5,021,566","1,437","69,952,537","13.80","14.15","13.60","13.95","+","0.50","13.90","89","13.95","84","0.00",
"2506","太設","21,098","16","243,268","11.75","11.75","11.50","11.50","-","0.10","11.50","4","11.60","7","0.00",
"2509","全坤建","105,500","67","2,936,374","27.80","27.95","27.60","27.85","+","0.15","27.85","2","27.95","4","0.00",
"2511","太子","982,752","383","10,381,742","10.40","10.65","10.40","10.55","+","0.15","10.55","95","10.60","5","13.19",
"2514","龍邦","2,149,696","254","38,023,012","17.50","17.90","17.20","17.60","+","0.05","17.60","19","17.65","4","27.94",
"2515","中工","10,492,769","2,070","82,078,671","7.72","7.92","7.68","7.86","+","0.16","7.83","7","7.86","26","30.23",
"2516","新建","40,758","23","263,059","6.44","6.48","6.44","6.46","+","0.02","6.44","3","6.46","8","0.00",
"2520","冠德","2,049,139","579","39,647,838","19.25","19.60","19.10","19.40","+","0.15","19.35","101","19.40","64","0.00",
"2524","京城","1,383,220","517","35,953,108","26.20","26.40","25.50","26.35","+","0.50","26.30","2","26.40","30","12.79",
"2527","宏璟","518,000","125","11,893,750","23.00","23.30","22.85","22.95"," ","0.00","22.90","15","22.95","1","53.37",
"2528","皇普","43,000","30","602,750","13.95","14.10","13.80","13.80","-","0.15","13.80","4","14.00","3","0.00",
"2530","華建","134,045","18","2,143,620","16.00","16.05","15.80","15.80","-","0.20","15.80","10","15.90","2","395.00",
"2534","宏盛","2,424,110","738","63,460,296","26.90","27.00","25.80","25.80","-","1.10","25.80","20","26.35","20","5.33",
"2535","達欣工","430,714","256","8,376,099","19.50","19.50","19.40","19.40"," ","0.00","19.40","105","19.45","6","7.92",
"2536","宏普","164,100","93","3,245,854","19.75","19.90","19.70","19.75","-","0.05","19.75","4","19.80","1","7.45",
"2537","聯上發","176,130","94","1,153,656","6.57","6.57","6.53","6.54","+","0.05","6.54","19","6.56","2","0.00",
"2538","基泰","438,000","128","5,543,650","12.55","12.70","12.55","12.65","+","0.10","12.65","12","12.70","38","180.71",
"2539","櫻花建","41,132","33","1,119,852","27.35","27.35","27.15","27.15","-","0.10","27.15","13","27.30","2","20.88",
"2540","愛山林","6,375","8","153,893","24.25","24.45","24.10","24.10","-","0.50","24.05","1","24.70","4","15.75",
"2542","興富發","2,784,538","1,170","130,404,513","46.75","46.95","46.50","46.90","+","0.40","46.85","4","46.90","16","10.56",
"2543","皇昌","12,302","10","97,977","8.02","8.10","7.84","7.84","-","0.23","7.76","2","7.84","4","0.00",
"2545","皇翔","1,254,781","211","30,403,238","23.95","24.30","23.85","24.25","+","0.40","24.25","175","24.30","6","26.94",
"2546","根基","26,002","20","656,000","25.25","25.25","25.20","25.20","-","0.05","25.20","16","25.25","4","7.41",
"2547","日勝生","4,087,044","1,216","66,289,254","16.50","16.65","15.70","15.70","-","0.75","15.70","8","16.15","27","3.27",
"2548","華固","684,313","365","44,012,032","65.80","66.20","63.20","63.20","-","2.60","63.20","26","65.30","2","24.12",
"2597","潤弘","125,092","92","5,697,135","45.50","45.75","45.40","45.50","+","0.05","45.45","1","45.50","2","10.73",
"2601","益航","2,837,526","805","29,954,168","10.60","10.70","10.50","10.50","-","0.05","10.50","188","10.55","141","19.09",
"2603","長榮","65,988,717","10,707","776,347,795","11.90","11.90","11.65","11.65","-","0.35","11.65","1,063","11.70","659","0.00",
"2605","新興","2,402,109","1,053","38,798,102","16.15","16.35","16.00","16.00","+","0.20","16.00","538","16.05","1","80.00",
"2606","裕民","3,276,706","1,413","104,778,962","31.75","32.45","31.45","32.00","+","0.75","31.95","28","32.00","28","14.48",
"2607","榮運","1,079,766","219","14,494,414","13.50","13.50","13.35","13.40","-","0.10","13.35","49","13.40","44","14.73",
"2608","嘉里大榮","725,407","208","25,637,964","37.00","37.00","34.85","34.85","-","2.15","34.75","3","34.85","98","14.05",
"2609","陽明","2,969,427","786","26,623,175","8.94","9.04","8.86","9.04","+","0.10","8.98","3","9.04","30","0.00",
"2610","華航","22,027,245","3,912","243,878,345","11.15","11.30","10.95","11.00","-","0.20","11.00","76","11.05","718","23.91",
"2611","志信","184,100","83","1,325,194","7.23","7.32","7.08","7.24","+","0.01","7.24","1","7.25","5","72.40",
"2612","中航","346,037","189","10,478,117","30.30","30.50","30.15","30.30","+","0.20","30.30","7","30.45","7","11.93",
"2613","中櫃","85,096","30","1,009,141","11.85","11.90","11.75","11.90","+","0.05","11.80","2","11.90","10","16.30",
"2614","東森","1,232,300","488","17,096,015","13.75","14.00","13.75","13.85","+","0.15","13.80","53","13.85","23","1.78",
"2615","萬海","888,299","366","14,205,034","15.95","16.10","15.90","15.90","-","0.10","15.90","97","16.00","10","24.84",
"2616","山隆","197,808","78","5,918,949","28.95","29.50","28.95","29.50","+","0.55","29.50","11","29.95","1","16.86",
"2617","台航","1,203,150","485","23,770,035","19.80","19.90","19.65","19.80","+","0.10","19.75","21","19.80","121","7.89",
"2618","長榮航","20,371,501","5,008","328,521,266","16.15","16.30","16.05","16.10","-","0.05","16.05","321","16.10","146","11.10",
"2630","亞航","62,000","32","1,333,200","21.60","21.75","21.35","21.75","+","0.05","21.75","1","21.80","2","0.00",
"2633","台灣高鐵","42,309,848","8,385","1,329,472,748","31.05","32.50","30.90","30.90","+","0.05","30.90","149","30.95","162","17.56",
"2634","漢翔","1,407,419","758","43,422,902","30.90","31.00","30.60","30.60","-","0.10","30.60","4","30.65","1","13.13",
"2636","台驊投控","315,190","142","7,806,738","24.90","24.90","24.70","24.75","-","0.10","24.75","6","24.80","4","8.71",
"2637","慧洋-KY","835,208","410","24,121,838","28.80","29.00","28.70","28.80","+","0.15","28.80","22","28.85","3","12.20",
"2642","宅配通","57,000","28","1,239,000","21.70","21.90","21.65","21.70","-","0.05","21.70","21","21.85","2","46.17",
"2701","萬企","234,733","70","3,049,301","12.95","13.05","12.80","12.85"," ","0.00","12.85","31","12.95","18","17.36",
"2702","華園","6,072,495","3,431","148,008,240","23.80","25.55","23.45","25.40","+","1.10","25.35","1","25.40","19","20.65",
"2704","國賓","2,123,408","1,153","53,598,854","24.45","25.80","24.45","25.00","+","0.60","25.00","24","25.15","27","20.00",
"2705","六福","4,902,513","1,504","35,728,052","6.90","7.47","6.90","7.30","+","0.50","7.29","10","7.30","51","0.00",
"2706","第一店","295,466","153","4,273,355","14.35","14.55","14.30","14.40","+","0.05","14.35","18","14.50","3","15.82",
"2707","晶華","407,075","224","57,278,685","140.00","142.50","139.50","142.50","+","2.50","142.00","2","142.50","33","13.56",
"2712","遠雄來","14,000","10","503,150","35.35","36.00","35.35","36.00","+","0.05","36.00","6","37.00","1","0.00",
"2722","夏都","25,189","17","735,627","28.95","29.25","28.95","29.25","X","0.00","28.20","1","29.25","1","487.50",
"2723","美食-KY","441,137","413","108,120,995","247.00","249.50","240.50","245.00"," ","0.00","244.50","2","245.00","2","22.56",
"2727","王品","2,034,617","811","169,018,327","82.90","85.90","82.10","82.10","-","0.80","82.10","451","83.10","2","17.32",
"2731","雄獅","129,035","114","11,477,802","89.40","89.90","88.00","89.40","+","1.00","88.90","4","89.40","5","18.82",
"2739","寒舍","76,400","50","2,270,130","29.70","29.90","29.40","29.85","+","0.15","29.40","2","29.90","6","35.54",
"2748","雲品","28,000","21","1,760,200","63.00","63.00","62.60","62.80","-","0.20","62.80","5","62.90","5","21.43",
"2801","彰銀","14,741,661","3,285","258,762,159","17.65","17.80","17.50","17.50","-","0.10","17.50","1,653","17.55","20","13.46",
"2809","京城銀","925,517","400","29,420,858","31.60","31.90","31.35","31.85","-","0.05","31.80","310","31.90","88","7.36",
"2812","台中銀","5,656,220","1,334","58,056,829","10.30","10.35","10.20","10.20","-","0.05","10.20","397","10.25","1","8.64",
"2816","旺旺保","163,000","73","3,088,550","19.05","19.10","18.85","18.95","+","0.10","18.90","18","19.00","44","5.76",
"2820","華票","2,878,680","582","37,267,606","13.40","13.50","12.80","12.80","-","0.65","12.80","1,988","12.90","30","12.55",
"2823","中壽","11,732,686","2,642","343,459,865","29.20","29.40","29.10","29.25","+","0.30","29.25","19","29.30","280","9.82",
"2832","台產","110,011","47","2,201,670","20.00","20.10","19.95","19.95","-","0.10","19.95","12","20.05","6","10.84",
"2834","臺企銀","20,835,696","3,148","220,115,938","10.55","10.60","10.55","10.55"," ","0.00","10.55","2,060","10.60","1,162","10.55",
"2836","高雄銀","848,715","373","7,940,273","9.37","9.37","9.33","9.37"," ","0.00","9.35","12","9.37","10","33.46",
"2838","聯邦銀","895,333","299","8,860,398","9.89","9.93","9.88","9.88","-","0.01","9.88","5","9.90","6","9.15",
"2838A","聯邦銀甲特","158,002","53","8,344,705","52.80","52.90","52.80","52.90","+","0.10","52.80","2","52.90","37","0.00",
"2841","台開","1,323,807","333","10,889,948","8.19","8.28","8.18","8.27","+","0.08","8.25","2","8.27","106","18.80",
"2845","遠東銀","1,219,431","363","12,478,848","10.20","10.25","10.20","10.25","+","0.05","10.20","562","10.25","410","10.79",
"2849","安泰銀","176,521","42","2,289,344","12.90","13.05","12.85","12.85","-","0.05","12.85","21","13.05","13","11.58",
"2850","新產","222,999","156","8,005,063","35.90","36.30","35.65","35.65","-","0.40","35.65","6","36.00","2","6.47",
"2851","中再保","91,250","56","1,553,911","16.95","17.05","16.95","17.00"," ","0.00","17.00","45","17.05","5","10.12",
"2852","第一保","198,000","63","2,885,450","14.65","14.65","14.55","14.55","-","0.10","14.55","5","14.60","25","7.13",
"2855","統一證","466,587","280","5,904,947","12.60","12.70","12.60","12.60"," ","0.00","12.60","6","12.65","11","8.46",
"2867","三商壽","4,305,881","1,296","56,798,411","13.30","13.30","13.10","13.10","-","0.15","13.10","117","13.15","41","0.00",
"2880","華南金","19,180,858","2,442","337,215,985","17.65","17.70","17.55","17.55","-","0.10","17.55","746","17.60","226","14.39",
"2881","富邦金","22,554,791","5,154","1,100,914,249","48.50","49.00","48.45","48.80","+","0.20","48.80","840","48.85","4","9.33",
"2881A","富邦特","111,011","40","7,145,403","64.30","64.70","64.20","64.70","+","0.30","64.70","2","64.80","20","0.00",
"2881B","富邦金乙特","75,951","30","4,656,199","61.30","61.40","61.30","61.40","+","0.10","61.30","92","61.40","79","0.00",
"2882","國泰金","27,846,842","6,963","1,354,058,040","48.55","48.95","48.50","48.55"," ","0.00","48.55","1,014","48.60","137","10.91",
"2882A","國泰特","73,914","36","4,692,260","63.30","63.70","63.30","63.70","+","0.20","63.30","46","63.70","5","0.00",
"2882B","國泰金乙特","47,948","43","2,932,990","61.40","61.50","61.30","61.50"," ","0.00","61.30","66","61.50","98","0.00",
"2883","開發金","76,115,961","7,939","766,872,660","10.05","10.30","10.00","10.00","+","0.01","9.99","2,080","10.00","4,638","12.99",
"2884","玉山金","24,163,571","4,451","502,194,963","20.65","20.85","20.65","20.80","+","0.15","20.80","341","20.85","1,130","13.59",
"2885","元大金","34,865,147","4,458","546,055,477","15.60","15.70","15.55","15.70","+","0.10","15.65","661","15.70","924","9.08",
"2886","兆豐金","61,187,132","13,859","1,571,561,513","25.90","26.15","25.55","25.60","-","0.15","25.60","57","25.70","1,100","13.13",
"2887","台新金","21,949,390","3,014","297,876,495","13.55","13.65","13.55","13.55","+","0.05","13.55","1,303","13.60","339","10.84",
"2887E","台新戊特","126,803","35","6,780,417","53.50","53.50","53.40","53.40"," ","0.00","53.40","79","53.60","8","0.00",
"2888","新光金","51,868,945","4,998","539,271,362","10.35","10.45","10.30","10.45","+","0.10","10.40","941","10.45","2,319","6.04",
